Jose,Iglesias,FISHFRY,SS,-0.13882390898521216
Colin,Moran,FISHFRY,3B,-0.13237186984055743
Andrew,Romine,FA,3B,-0.13201111671524784
Tyler,Holt,FA,CF,-0.13074260783428238
Tyler,Collins,FA,RF,-0.12774869556789678
Jason,Coats,FA,LF,-0.12760694464638664
Ruben,Tejada,FA,SS,-0.12730626842748888
Hector,Olivera,ICHI,3B,-0.12631903488845786
Juan,Lagares,FA,CF,-0.12261502151486237
Jose,Peraza,ICHI,2B,-0.12069194194040452
Tony,Kemp,FA,2B,-0.12066121884322911
Darwin,Barney,FA,2B,-0.12018848681825965
Matt,McBride,FA,LF,-0.1190884998216819
Francisco,Cervelli,BALK,C,-0.11777431296140622
Rafael,Ortega,FA,CF,-0.11279513064900032
Hanser,Alberto,FA,2B,-0.11211720920479699
Emmanuel,Burriss,FA,2B,-0.10925642918875603
Jimmy,Paredes,FA,DH,-0.10864185365678783
Max,Muncy,FA,1B,-0.10811583233392306
Conor,Gillaspie,FA,3B,-0.10103712580993418
C.J.,Cron,ICHI,1B,-0.097094971552566398
Collin,Cowgill,FA,RF,-0.092652698871723352
Alexi,Amarista,FA,SS,-0.092409981058239068
Jared,Hoying,FA,LF,-0.091954601395754912
Brendan,Ryan,FA,2B,-0.091857517844390932
Francisco,Pena,FA,C,-0.087873649138291168
Chris,Heisey,FA,LF,-0.081853421407258736
Emilio,Bonifacio,FA,2B,-0.081146034784223886
Matt,Dominguez,FA,3B,-0.079356807414612152
Will,Venable,FA,RF,-0.069606477144316628
Luis,Sardinas,FA,2B,-0.069006422421528379
Gregor,Blanco,FA,LF,-0.068628946401483024
Gerardo,Parra,CHOICE,RF,-0.068008840505964063
James,Loney,FA,1B,-0.067618803020964499
Howie,Kendrick,FA,2B,-0.064400502301334553
Ike,Davis,FA,1B,-0.06346259212406101
Stefen,Romero,FA,LF,-0.060112319576540466
Jason,Rogers,FA,1B,-0.053987089027111246
Michael,Morse,FA,1B,-0.052904538276413594
Eddie,Rosario,MICE,LF,-0.052371265080998514
Ben,Gamel,FA,DH,-0.050581302988091228
Steve,Selsky,FA,OF,-0.048309427609459027
Kyle,Waldrop,FA,RF,-0.047833438256644066
Blake,Swihart,BUSTERS,C,-0.04771220960697508
Andy,Burns,FA,SS,-0.046291470836102376
Pablo,Sandoval,FA,3B,-0.046291470836102376
Deven,Marrero,FA,3B,-0.046291468216823069
Ivan,Jesus,FA,2B,-0.045399360413080847
Gregorio,Petit,FA,2B,-0.040138067780130043
Kaleb,Cowart,FA,3B,-0.039678368565080134
Scott,Slyke,FA,RF,-0.039447587093966056
Cameron,Rupp,FA,C,-0.038546083742475999
Cliff,Pennington,FA,2B,-0.034538101748948308
Todd,Cunningham,FA,CF,-0.033971504710825301
Didi,Gregorius,FA,SS,-0.033285952764752685
