Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Noah Schultz,CHW,1.07145,1.21277,1.4447,4.60417,3.26506,3.26506,0,0,0,17.7932,79.2638,17.6454,9.89405,9.10252,2.1918,8.80534,0.0691725,1.03493,14.564,7.36663,4.45385,1.65399,1.10864,0.18374,0.111089,0.072651297,0.25417,1.48657,0.293417,0.708089,,,4.75858,0.110452,0.12154,999,6.08632,-2.21557,1.11877,6.08632,2.21557,3.50831,61.800000000000026,3.433333333333335,64,3.5555555555555554,,,,,,,,,,,,,,,,,,,Noah Schultz,sa3020949,702273
Cal Quantrill,TEX,0.618023,1.7331,0.783117,5.12246,5.16814,3.90272,0,0,0,19.8454,86.1905,20.7769,12.2774,11.2952,3.16346,6.85392,0.0603315,0.809618,14.7959,6.71004,3.1083,2.15875,1.43465,0.171665,0.0795207,0.092144564,0.264584,1.39231,0.290807,0.661729,,,4.87477,0.110003,0.00583321,999,2.27169,-1.44564,1.12551,2.27169,1.44564,3.49931,62.49999999999999,3.1249999999999996,67,3.35,,,,,,,,,,,,,,,,,,,Cal Quantrill,19312,615698
George Klassen,LAA,1.17297,1.36466,0.886959,4.52349,9.9658,2.1997,0,0.782392,0,19.3763,84.4879,18.5702,10.5856,9.73874,2.56291,8.75521,0.235844,0.777307,18.1309,8.4215,4.06666,2.07087,1.19043,0.214597,0.103627,0.11097042262554169,0.247751,1.41025,0.295003,0.705211,,,4.45911,0.109458,-0.00450193,999,0.795977,-2.74799,1.10313,0.795977,2.74799,3.52916,64.29999999999998,3.3842105263157887,66,3.473684210526316,,,,,,,,,,,,,,,,,,,George Klassen,sa3023440,691946
Tony Gonsolin,,1.4303,0.82176,0.28049,4.57814,3.94655,3.06586,0,0,0,16.5142,70.5537,14.7483,9.13097,8.40049,2.65523,6.9112,0.0958587,0.837821,15.53,8.46359,3.7665,2.24707,1.44706,0.220116,0.0979565,0.1221589744091034,0.234828,1.31156,0.271026,0.698272,,,4.75224,0.108244,0.147804,999,1.60425,-0.529461,1.16113,1.60425,0.529461,3.45182,57.900000000000006,3.405882352941177,54,3.176470588235294,,,,,,,,,,,,,,,,,,,Tony Gonsolin,19388,664062
JR Ritchie,ATL,0.881928,0.907747,1.11494,4.57527,2.55837,2.55837,0,0,0,14.5605,63.3564,14.3132,8.04568,7.40202,1.91667,5.898,0.0562248,0.774169,12.0661,7.45821,3.64562,2.0458,1.18471,0.190449,0.0930924,0.097356334,0.252507,1.38808,0.290307,0.694068,,,4.56372,0.104887,0.146332,999,0.573003,0.787632,1.21669,0.573003,-0.787632,3.37774,53.00000000000001,3.5333333333333337,52,3.466666666666667,,,,,,,,,,,,,,,,,,,JR Ritchie,sa3020395,702275
Tink Hence,STL,0.604739,0.707934,0.427503,4.25112,5.93208,1.63977,0,0.485022,0,12.5809,54.1285,11.8839,6.45928,5.94254,1.61028,5.09391,0.132985,0.540333,11.3377,8.11062,3.64403,2.22573,1.15195,0.209458,0.0941076,0.11535026878118515,0.245058,1.34949,0.289021,0.714409,,,4.34023,0.10176,0.174316,999,0.988531,1.2739,1.28953,0.988531,-1.2739,3.28062,44.39999999999999,3.415384615384615,43,3.3076923076923075,,,,,,,,,,,,,,,,,,,Tink Hence,sa3014709,693311
Caden Dana,LAA,3.78459,6.00943,4.65519,5.09769,15.2364,14.7817,0,0.16526,0,80.16,350.281,78.0653,49.3516,45.4034,14.4465,35.2178,0.408727,3.73267,69.0028,7.74732,3.9541,1.95932,1.62199,0.196992,0.100541,0.096451007,0.250747,1.41321,0.279175,0.687008,,,5.21412,0.0959866,0.0952983,999,2.15814,-1.09072,0.541352,2.15814,1.09072,4.2782,238,2.975,239,2.9875,,,,,,,,,,,,,,,,,,,Caden Dana,31508,702674
Tanner McDougal,CHW,1.22524,1.75412,1.4232,4.7019,10.8977,3.93308,0,0.420606,0,26.3303,115.755,25.7124,14.952,13.7558,3.64325,12.0543,0.293496,1.36715,22.6132,7.72947,4.1203,1.87595,1.24531,0.195354,0.104136,0.091217846,0.251261,1.43435,0.29009,0.698421,,,4.74546,0.0925634,0.0505431,999,1.61024,2.38562,0.973803,1.61024,-2.38562,3.7016,82.6,3.1769230769230767,85,3.269230769230769,,,,,,,,,,,,,,,,,,,Tanner McDougal,sa3017471,701780
Trey Gibson,BAL,0.0925028,0.705513,0.582267,4.46791,1.40984,1.40984,0,0,0,7.07387,30.6417,6.939,3.81708,3.51171,0.870328,2.56291,0.0271307,0.554789,6.12846,7.79716,3.26077,2.39121,1.10731,0.200004,0.0836415,0.11636252701282501,0.252108,1.34324,0.29567,0.686288,,,4.32408,0.0749874,0.0260711,999,0.540738,-1.67097,1.39675,0.540738,1.67097,3.13767,21.3,3.042857142857143,22,3.142857142857143,,,,,,,,,,,,,,,,,,,Trey Gibson,sa3023250,694346
Dane Dunning,SEA,0.659454,0.711783,0.514079,4.40161,6.52121,1.94311,0.0077231,0.243136,0,14.4868,62.3196,14.2689,7.70114,7.08505,1.88648,5.02784,0.303031,0.866154,12.4757,7.7506,3.12356,2.48133,1.17198,0.20019,0.0806784,0.11951128393411636,0.25288,1.33202,0.294375,0.696195,,,4.3262,0.0743431,-0.0424428,999,1.57892,-1.2948,1.26069,1.57892,1.2948,3.31908,48.6,3.4714285714285715,50,3.5714285714285716,,,,,,,,,,,,,,,,,,,Dane Dunning,19409,641540
