Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Kyle Nicolas,CIN,1.94092,2.16244,0,4.2875,41.8292,0,0.14542,3.71839,1.95622,45.5133,200.4,42.5481,23.5674,21.682,4.93966,22.9753,0.638735,2.4323,44.6949,8.83817,4.54324,1.94535,0.976789,0.223029,0.114648,0.10838168859481812,0.243143,1.43965,0.30001,0.715876,,,4.25675,0.0631114,0.0756159,999,3.01561,-1.72818,0.690395,3.01561,1.72818,4.07947,198.10000000000002,4.306521739130435,196,4.260869565217392,,,,,,,,,,,,,,,,,,,Kyle Nicolas,27775,693312
Paxton Schultz,WSN,1.6575,2.33871,0,4.36409,35.5288,0.0884193,0,1.65007,0,42.0479,180.31,40.2933,22.162,20.389,5.99849,16.1898,0.718651,1.46735,38.824,8.30995,3.4653,2.39805,1.28393,0.215318,0.0897889,0.1255292296409607,0.247726,1.3433,0.291052,0.713757,,,4.40283,0.0623998,0.0184072,999,2.02576,-3.32568,0.809996,2.02576,3.32568,3.92001,168,4,167,3.9761904761904763,,,,,,,,,,,,,,,,,,,Paxton Schultz,25501,687606
Welinton Herrera,COL,0.742275,1.33994,0,4.47673,16.7913,0,0,0.841723,0,17.5051,77.2547,17.739,9.46443,8.70728,2.2249,7.58029,0.450971,0.995639,16.9195,8.69894,3.8973,2.23204,1.1439,0.21901,0.0981208,0.12088891118764877,0.258289,1.44639,0.313198,0.71404,,,4.32407,0.0605051,0.162799,999,0.552868,0.354709,1.15289,0.552868,-0.354709,3.46281,72.80000000000003,4.044444444444446,75,4.166666666666667,,,,,,,,,,,,,,,,,,,Welinton Herrera,sa3016061,700327
Adam Mazur,MIA,1.4036,2.08822,0.897822,4.47669,18.4349,2.39081,0,0.829072,0,30.3266,130.286,31.2512,16.3965,15.0847,4.44546,9.7757,0.202516,1.00917,23.5243,6.98129,2.90113,2.4064,1.31928,0.180558,0.0750324,0.1055259183049202,0.261513,1.35284,0.292857,0.707705,,,4.55623,0.0586536,0.121538,999,2.49434,-1.25981,0.995791,2.49434,1.25981,3.67228,111.20000000000002,3.7066666666666674,117,3.9,,,,,,,,,,,,,,,,,,,Adam Mazur,31900,800049
José Leclerc,,1.40834,1.55804,0,4.17251,33.953,0,0.0408771,1.33261,4.46026,35.4497,151.893,30.8324,17.8641,16.4349,4.76144,16.1863,0.495917,1.71525,37.525,9.52688,4.1094,2.31832,1.20884,0.24705,0.106564,0.14048533886671066,0.230108,1.32635,0.284293,0.722496,,,4.27911,0.0568856,0.0295039,999,1.42783,-0.1089,0.926688,1.42783,0.1089,3.76442,142.9,4.082857142857143,136,3.8857142857142857,,,,,,,,,,,,,,,,,,,Jose Leclerc,14524,600917
Connor Phillips,CIN,3.00554,2.55449,0,4.35303,46.6409,0.0018524,2.73879,5.51229,0,51.5317,222.46,44.2075,27.0917,24.9243,7.09469,25.0797,0.431427,3.21569,55.1824,9.63759,4.38017,2.20028,1.23909,0.248055,0.112738,0.13531695306301117,0.22768,1.34456,0.281397,0.710905,,,4.43051,0.0531715,0.175978,999,2.06296,-2.61669,0.602085,2.06296,2.61669,4.19722,249.30000000000004,4.794230769,234,4.5,,,,,,,,,,,,,,,,,,,Connor Phillips,27649,683175
Travis Adams,MIN,2.5681,3.19302,0.376469,4.69309,40.6214,2.27954,0.0201043,5.46246,1.65111,58.8306,255.382,60.3396,33.3451,30.6775,7.67838,21.3271,0.856552,2.51813,47.3636,7.24575,3.26266,2.22081,1.17465,0.185462,0.0835108,0.10195089876651764,0.260605,1.38817,0.298373,0.681383,,,4.43765,0.052118,-0.120003,999,3.23124,-3.0039,0.474012,3.23124,3.0039,4.36798,224.20000000000005,3.8000000000000007,233,3.9491525423728815,,,,,,,,,,,,,,,,,,,Travis Adams,30180,701519
Doug Nikhazy,CLE,1.10011,2.27134,0.918057,4.63521,16.1475,2.29828,0,0.59864,0,25.2335,110.54,24.1576,14.1259,12.9958,3.56249,12.2109,0.220455,0.741716,22.3088,7.95685,4.35525,1.82696,1.27063,0.201817,0.110466,0.091350839,0.247549,1.44128,0.287176,0.708791,,,4.74223,0.0510547,-0.0270065,999,2.8448,-2.10061,1.0005,2.8448,2.10061,3.666,82.4,3.2960000000000003,82,3.28,,,,,,,,,,,,,,,,,,,Doug Nikhazy,30142,680951
Elvis Alvarado,ATH,2.91971,3.12235,0,4.20453,55.9746,0,5.01397,10.5576,2.36054,60.0633,260.315,53.1234,30.4997,28.0598,7.60721,29.4406,1.34602,3.38265,61.7823,9.25759,4.41144,2.09854,1.13988,0.237337,0.113096,0.12424088269472122,0.233518,1.37462,0.287891,0.72398,,,4.36382,0.0503112,0.138199,744.4299926757812,2.36704,0.0554749,0.669271,2.36704,-0.0554749,4.10764,304.8,5.08,293,4.883333333333334,,,,,,,,,,,,,,,,,,,Elvis Alvarado,21662,665660
Jake Bennett,BOS,0.852642,0.82046,0,4.40343,12.2325,0,0,0.788182,0,13.8438,59.4262,14.4971,7.36233,6.77334,1.60318,4.38873,0.349567,0.255048,10.5658,6.86893,2.85316,2.40748,1.04225,0.177796,0.0738517,0.10394476354122162,0.26463,1.36421,0.302577,0.69246,,,4.1205,0.049071,0.0511557,999,0.644236,-0.623876,1.2549,0.644236,0.623876,3.3268,56.6,4.042857142857143,58,4.142857142857143,,,,,,,,,,,,,,,,,,,Jake Bennett,sa3020737,687562
Zach McCambley,PHI,1.66227,1.92395,0,4.42367,37.0022,0,0,3.61002,0,38.2947,166.149,36.1566,20.4593,18.8226,5.01895,16.4827,0.938593,2.07247,37.0181,8.69997,3.87375,2.24588,1.17955,0.2228,0.099204,0.12359622865915298,0.244973,1.37458,0.294984,0.705504,,,4.35921,0.0481621,0.0397496,999,1.22419,1.17984,0.811469,1.22419,-1.17984,3.91804,162.1,4.265789473684211,161,4.2368421052631575,,,,,,,,,,,,,,,,,,,Zach McCambley,sa3014478,685112
